CriterionId,Ambit,Kind,Formula,MaxPoints,Label,Input,Unit,QuantityKind,NumeratorLabel,DenominatorLabel,DependencyCriterion,DependencyMin
A.1.1,A,Q,higher,3,Tasso aggiuntivo di corse controllate,percent,%,percent,Corse controllate annue,Corse programmate annue,,
A.1.2,A,Q,higher,4,Numero aggiuntivo di passeggeri controllati,integer,passeggeri/anno,,,,
B.1.1,B,Q,higher,3,Incremento dei posti offerti nelle fasce di punta,integer,posti*km,,,,
B.2.1,B,Q,higher,4,Corse aggiuntive nell'arco giornaliero base,integer,corse,,,,
B.3.1,B,Q,higher,2,Numero di corse aggiuntive per allungamento dell'arco di servizio giornaliero nelle fasce serali,integer,corse,,,,
B.4.1,B,Q,higher,3,Percorrenze aggiuntive offerte nel Programma d'esercizio delle prime due fasi attuative,integer,vett*km,,,,
B.5.1,B,D,discretionary,2,Efficacia del progetto di servizi complementari DRT,judgement,coeff.,,,,
C.1.1,C,Q,higher,2,Tasso di copertura del servizio con telecamere BSD,ratio,0-1,ratio,Autobus attrezzati con telecamere BSD,"Autobus totali in offerta, incluse scorte",,
C.1.2,C,Q,higher,2,Tasso di copertura del servizio con telecamere ADAS,ratio,0-1,ratio,Autobus attrezzati con telecamere ADAS,"Autobus totali in offerta, incluse scorte",,
C.2.1,C,Q,higher,3,Tasso di copertura del servizio con telecamere di bordo di videosorveglianza,ratio,0-1,ratio,Autobus attrezzati con videosorveglianza,"Autobus totali in offerta, incluse scorte",,
C.2.2,C,T,tabular,1,Software video/audio analisi per situazioni di pericolo,yesno,sì/no,,,,
C.2.3,C,T,tabular,1,Collegamento con centrale qualificata di pronto intervento,yesno,sì/no,,,,
C.2.4,C,Q,higher,1,Tasso di copertura del servizio con dispositivi per la chiamata di emergenza del conducente,ratio,0-1,ratio,Autobus attrezzati con chiamata di emergenza,"Autobus totali in offerta, incluse scorte",,
C.3.1,C,Q,higher,2,Tasso di copertura del servizio con dispositivi di informazione dinamica a bordo mezzo,ratio,0-1,ratio,Autobus con monitor e indicatori vocali,"Autobus totali in offerta, incluse scorte",,
C.3.2,C,T,tabular,2,Informazioni a bordo su coincidenze ai nodi,yesno,sì/no,,,,C.3.1,0.5
D.1.1,D,Q,higher,3,Installazione di pensiline,integer,fermate,,,,
D.1.2,D,Q,higher,3,Installazione di paline di fermata conformi alla DGR 581/2023,integer,fermate,,,,
D.1.3,D,Q,higher,2,Display informativi connessi alle fermate,integer,fermate,,,,
D.2.1,D,Q,higher,2,Segnali tattili Loges-Vet-Evolution,integer,fermate,,,,
E.1.1,E,T,tabular,2,Mobile app con travel planner PRM,yesno,sì/no,,,,
E.2.1,E,D,discretionary,2,Altre azioni informative e rapporti con gli utenti,judgement,coeff.,,,,
F.1.1,F,Q,lower,7,Performance ambientali del parco mezzi adibito al servizio - I_CEA,index,indice,,,,
F.2.1,F,Q,higher,2,Tasso di copertura del servizio con dispositivi ECO-DRIVER,ratio,0-1,ratio,Autobus attrezzati con dispositivi ECO-DRIVER,"Autobus totali in offerta, incluse scorte",,
F.3.1,F,Q,higher,2,Autoproduzione consumi elettrici per trazione,integer,kWh/anno,,,,
F.4.1,F,Q,soil,2,Indice di consumo di suolo,sqm,m2,,,,
F.5.1,F,T,tabular,1,Rendicontazione di sostenibilità ambientale,yesno,sì/no,,,,
G.1.1,G,D,discretionary,2,Qualità del progetto di centrale di controllo aziendale,judgement,coeff.,,,,
G.2.1,G,T,tabular,1,Certificazione ISO 45001,yesno,sì/no,,,,
G.3.1,G,T,tabular,1,Certificazioni di responsabilità sociale,yesno,sì/no,,,,
G.4.1,G,D,discretionary,2,Qualità del piano di formazione del personale,judgement,coeff.,,,,
G.5.1,G,T,tabular,1,Impegno al mantenimento delle garanzie del contratto di secondo livello del gestore uscente,yesno,sì/no,,,,
